city,gu,dong,latitude,longitude
서울,송파구,가락1동,127.107686111111,37.49375
서울,송파구,가락2동,127.128641666666,37.4958444444444
서울,송파구,가락본동,127.123911111111,37.4927722222222
서울,구로구,가리봉동,126.891986111111,37.4779805555555
서울,금천구,가산동,126.893808333333,37.474125
서울,강서구,가양제1동,126.842663888888,37.5664777777777
서울,강서구,가양제2동,126.853363888888,37.5646055555555
서울,강서구,가양제3동,126.862686111111,37.5582749999999
서울,종로구,가회동,126.986911111111,37.5772527777777
서울,은평구,갈현제1동,126.918788888888,37.6208972222222
서울,은평구,갈현제2동,126.917888888888,37.6157666666666
서울,강동구,강일동,127.1804,37.5667138888888
서울,구로구,개봉제1동,126.849263888888,37.4993861111111
서울,구로구,개봉제2동,126.858619444444,37.488025
서울,구로구,개봉제3동,126.855888888888,37.4831722222222
서울,강남구,개포1동,127.059555555555,37.4790972222222
서울,강남구,개포2동,127.075741666666,37.485175
서울,강남구,개포3동,127.073672992441,37.4921439151835
서울,강남구,개포4동,127.053733333333,37.4760277777777
서울,송파구,거여1동,127.145408333333,37.4941083333333
서울,송파구,거여2동,127.149,37.4906861111111
서울,강동구,고덕제1동,127.151019444444,37.5562444444444
서울,강동구,고덕제2동,127.166486111111,37.5577138888888
서울,구로구,고척제1동,126.864799999999,37.4976083333333
서울,구로구,고척제2동,126.860430555555,37.5037777777777
서울,마포구,공덕동,126.962088888888,37.5474416666666
서울,노원구,공릉1동,127.0737518,37.62472748
서울,노원구,공릉2동,127.085441666666,37.6185694444444
서울,강서구,공항동,126.812163888888,37.5561055555555
서울,광진구,광장동,127.105308333333,37.5442138888888
서울,중구,광희동,127.007163888888,37.5617305555555
서울,종로구,교남동,126.9641,37.569075
서울,구로구,구로제1동,126.877855555555,37.4902027777777
서울,구로구,구로제2동,126.885666666666,37.4886027777777
서울,구로구,구로제3동,126.895686111111,37.4830555555555
서울,구로구,구로제4동,126.891222222222,37.4888305555555
서울,구로구,구로제5동,126.891377777777,37.4972777777777
서울,은평구,구산동,126.9125,37.6090194444444
서울,광진구,구의제1동,127.087866666666,37.5396749999999
서울,광진구,구의제2동,127.092108333333,37.5444388888888
서울,광진구,구의제3동,127.099688888888,37.5361388888888
서울,광진구,군자동,127.077997222222,37.5523527777777
서울,성동구,금호1가동,127.023944444444,37.5520694444444
서울,성동구,금호2.3가동,127.020859,37.553188
서울,성동구,금호4가동,127.024475,37.5444722222222
서울,강동구,길동,127.1461684,37.5392169
서울,성북구,길음제1동,127.024166666666,37.6017833333333
서울,성북구,길음제2동,127.0294,37.60385
서울,관악구,낙성대동,126.960488888888,37.4735
서울,관악구,난곡동,126.9216507,37.4709634
서울,관악구,난향동,126.918842,37.461429
서울,서대문구,남가좌제1동,126.915577777777,37.5711944444444
서울,서대문구,남가좌제2동,126.925911111111,37.5756277777777
서울,용산구,남영동,126.976966666666,37.5428333333333
서울,관악구,남현동,126.979955555555,37.4717888888888
서울,서초구,내곡동,127.053411111111,37.4591444444444
서울,동작구,노량진제1동,126.944086111111,37.5094805555555
서울,동작구,노량진제2동,126.939386111111,37.5057333333333
서울,은평구,녹번동,126.936844444444,37.5999611111111
서울,강남구,논현1동,127.030511111111,37.5087888888888
서울,강남구,논현2동,127.039288888888,37.5144361111111
서울,광진구,능동,127.082644444444,37.5510277777777
서울,중구,다산동,127.010308333333,37.5516166666666
서울,동대문구,답십리제1동,127.054222222222,37.569275
서울,동대문구,답십리제2동,127.061574999999,37.5691527777777
서울,영등포구,당산제1동,126.899522222222,37.5221583333333
서울,영등포구,당산제2동,126.904244444444,37.5319388888888
서울,영등포구,대림제1동,126.907963888888,37.4925888888888
서울,영등포구,대림제2동,126.900355555555,37.489925
서울,영등포구,대림제3동,126.900211111111,37.4954861111111
서울,동작구,대방동,126.928444444444,37.5053305555555
서울,은평구,대조동,126.922888888888,37.6113388888888
서울,강남구,대치1동,127.063855555555,37.4905055555555
서울,강남구,대치2동,127.069019444444,37.4971111111111
서울,강남구,대치4동,127.059852777777,37.4969638888888
서울,관악구,대학동,126.9369907,37.4706145
서울,마포구,대흥동,126.944811111111,37.55305
서울,강남구,도곡1동,127.040497222222,37.4880666666666
서울,강남구,도곡2동,127.0454,37.4798638888888
서울,영등포구,도림동,126.89595,37.509475
서울,도봉구,도봉제1동,127.045511111111,37.6758194444444
서울,도봉구,도봉제2동,127.048708333333,37.6669999999999
서울,마포구,도화동,126.952130555555,37.5349
서울,금천구,독산제1동,126.8991,37.4674583333333
서울,금천구,독산제2동,126.901844444444,37.4632944444444
서울,금천구,독산제3동,126.909988888888,37.4737888888888
서울,금천구,독산제4동,126.904222222222,37.4646555555555
서울,성북구,돈암제1동,127.028288888888,37.6005083333333
서울,성북구,돈암제2동,127.012711111111,37.5952555555555
서울,성북구,동선동,127.022508333333,37.5912777777777
서울,중구,동화동,127.021541666666,37.5572277777777
서울,강동구,둔촌제1동,127.138830555555,37.52075
서울,강동구,둔촌제2동,127.144019444444,37.53055
서울,강서구,등촌제1동,126.860997222222,37.5530666666666
서울,강서구,등촌제2동,126.864597222222,37.5398527777777
서울,강서구,등촌제3동,126.850008333333,37.5560944444444
서울,성동구,마장동,127.047563888888,37.5634333333333
서울,송파구,마천1동,127.152088888888,37.4932222222222
서울,송파구,마천2동,127.150677777777,37.494075
서울,중랑구,망우본동,127.108463888888,37.5986916666666
서울,중랑구,망우제3동,127.100266666666,37.5895777777777
서울,마포구,망원제1동,126.907766666666,37.5524333333333
서울,마포구,망원제2동,126.904311111111,37.5575638888888
서울,중랑구,면목본동,127.089677777777,37.5845611111111
서울,중랑구,면목제2동,127.081133333333,37.5869833333333
서울,중랑구,면목제3.8동,127.090219444444,37.5802361111111
서울,중랑구,면목제4동,127.087622222222,37.5718166666666
서울,중랑구,면목제5동,127.081722222222,37.5830472222222
